Year,Área Geográfica,Units,Value
2014,Barcelona,Variación porcentual anual,
2015,Barcelona,Variación porcentual anual,3.06
2016,Barcelona,Variación porcentual anual,2.83
2017,Barcelona,Variación porcentual anual,2.83
2018,Barcelona,Variación porcentual anual,2.93
2019,Barcelona,Variación porcentual anual,1.87
2020,Barcelona,Variación porcentual anual,-12.76
2021,Barcelona,Variación porcentual anual,7.27
2014,Unión Europea,Variación porcentual anual,
2015,Unión Europea,Variación porcentual anual,2.13
2016,Unión Europea,Variación porcentual anual,1.83
2017,Unión Europea,Variación porcentual anual,2.58
2018,Unión Europea,Variación porcentual anual,2.0
2019,Unión Europea,Variación porcentual anual,1.36
2020,Unión Europea,Variación porcentual anual,-6.33
2021,Unión Europea,Variación porcentual anual,5.51
2014,España,Variación porcentual anual,
2015,España,Variación porcentual anual,3.92
2016,España,Variación porcentual anual,2.94
2017,España,Variación porcentual anual,2.73
2018,España,Variación porcentual anual,1.84
2019,España,Variación porcentual anual,1.36
2020,España,Variación porcentual anual,-11.25
2021,España,Variación porcentual anual,5.21
2014,Barcelona,Crecimiento acumulado del PIB,100.0
2015,Barcelona,Crecimiento acumulado del PIB,103.06
2016,Barcelona,Crecimiento acumulado del PIB,105.98
2017,Barcelona,Crecimiento acumulado del PIB,108.98
2018,Barcelona,Crecimiento acumulado del PIB,112.17
2019,Barcelona,Crecimiento acumulado del PIB,114.26
2020,Barcelona,Crecimiento acumulado del PIB,99.68
2021,Barcelona,Crecimiento acumulado del PIB,106.93
