Year,Sector,Units,Value
2015,Comerç_Consum_Turisme,Milions d'euros,0.0
2016,Comerç_Consum_Turisme,Milions d'euros,1.3
2017,Comerç_Consum_Turisme,Milions d'euros,1.6
2018,Comerç_Consum_Turisme,Milions d'euros,2.8
2015,Habitatge,Milions d'euros,25.0
2016,Habitatge,Milions d'euros,12.8
2017,Habitatge,Milions d'euros,20.0
2018,Habitatge,Milions d'euros,15.7
2015,Mobilitat i qualitat de l'aire,Milions d'euros,133.4
2016,Mobilitat i qualitat de l'aire,Milions d'euros,187.1
2017,Mobilitat i qualitat de l'aire,Milions d'euros,207.9
2018,Mobilitat i qualitat de l'aire,Milions d'euros,256.4
2015,Espais verds urbans,Milions d'euros,0.0
2016,Espais verds urbans,Milions d'euros,49.6
2017,Espais verds urbans,Milions d'euros,50.7
2018,Espais verds urbans,Milions d'euros,57.1
2015,Residus,Milions d'euros,30.7
2016,Residus,Milions d'euros,35.0
2017,Residus,Milions d'euros,36.1
2018,Residus,Milions d'euros,40.6
2015,Energia,Milions d'euros,1.6
2016,Energia,Milions d'euros,1.0
2017,Energia,Milions d'euros,8.6
2018,Energia,Milions d'euros,12.2
2015,Agregat de: aigua_desenvolupament local_sostenibilitat transversal,Milions d'euros,0.1
2016,Agregat de: aigua_desenvolupament local_sostenibilitat transversal,Milions d'euros,4.9
2017,Agregat de: aigua_desenvolupament local_sostenibilitat transversal,Milions d'euros,5.2
2018,Agregat de: aigua_desenvolupament local_sostenibilitat transversal,Milions d'euros,5.6
2015,,Milions d'euros,190.8
2016,,Milions d'euros,291.7
2017,,Milions d'euros,330.2
2018,,Milions d'euros,390.6
2015,,Milions d'euros,190.8
2016,,Milions d'euros,291.7
2017,,Milions d'euros,330.2
2018,,Milions d'euros,390.6
2015,,Percentatge,6.84
2016,,Percentatge,10.79
2017,,Percentatge,12.36
2018,,Percentatge,14.66
